"col0","col1","col2","newspaper","year","month","day"
"""La tasa de desempleo en octubre en Colombia bajó hasta el 118 %""","""Sectores""","""https://www.eltiempo.com/economia/sectores/empleo-en-octubre-se-redujo-el-numero-de-desempleados-en-el-pais-635897""","El_tiempo","2021","11","30"
"""¿Por qué ahora sacar el pasaporte en Colombia es un caos?""","""Gobierno""","""https://www.eltiempo.com/politica/gobierno/por-que-ahora-sacar-el-pasaporte-en-colombia-es-una-tortura-635845""","El_tiempo","2021","11","30"
"""Petro responde a críticas sobre arribo de Luis Pérez al Pacto Histórico""","""Partidos Políticos""","""https://www.eltiempo.com/politica/partidos-politicos/petro-responde-a-criticas-sobre-arribo-de-luis-perez-al-pacto-historico-635890""","El_tiempo","2021","11","30"
"""Oficial: José Pékerman nuevo técnico de Venezuela""","""Fútbol Internacional""","""https://www.eltiempo.com/deportes/futbol-internacional/jose-pekerman-nuevo-director-tecnico-de-la-seleccion-de-venezuela-635874""","El_tiempo","2021","11","30"
"""El hombre que retrató a los Beatles a la reina y la muerte de B. Kennedy""","""Entrevista de bocas""","""https://www.eltiempo.com/cultura/el-hombre-que-retrato-a-los-beatles-a-la-reina-y-la-muerte-de-b-kennedy-635686""","El_tiempo","2021","11","30"
"""Fajardo sigue el camino de Petro y pide medidas cautelares a la CIDH""","""Partidos Políticos""","""https://www.eltiempo.com/politica/partidos-politicos/reacciones-al-anuncio-de-fajardo-de-pedir-medidas-cautelares-a-la-cidh-635816""","El_tiempo","2021","11","30"
"""La historia de la caleña que sacó puntaje perfecto en la prueba del Icfes""","""Cali""","""https://www.eltiempo.com/colombia/cali/icfes-calena-alcanzo-el-puntaje-perfecto-en-la-prueba-635836""","El_tiempo","2021","11","30"
"""¿En qué consiste el 'veto' a futbolistas en Colombia?""","""Fútbol Colombiano""","""https://www.eltiempo.com/deportes/futbol-colombiano/en-que-consiste-el-veto-a-futbolistas-en-el-futbol-colombiano-635732""","El_tiempo","2021","11","30"
"""Magistrados se comprometen a evitar casos de acoso en Corte Constitucional""","""Cortes""","""https://www.eltiempo.com/justicia/cortes/acoso-sexual-y-equidad-de-genero-corte-constitucional-lanza-politica-635860""","El_tiempo","2021","11","30"
"""Estados Unidos retiró oficialmente a las Farc de su lista de terroristas""","""EEUU""","""https://www.eltiempo.com/mundo/eeuu-y-canada/estados-unidos-retira-a-las-farc-de-lista-de-terroristas-635818""","El_tiempo","2021","11","30"
"""¿Qué demoró tanto 'humo blanco' en 'cónclave' de Coalición de la Esperanza?""","""CARA A CARA CON MARÍA ISABEL RUEDA""","""https://www.eltiempo.com/politica/partidos-politicos/campana-2022-entrevista-con-carlos-fernando-galan-635735""","El_tiempo","2021","11","30"
"""¿En qué consiste el 'veto' a futbolistas en Colombia?""","""Fútbol Colombiano""","""https://www.eltiempo.com/deportes/futbol-colombiano/en-que-consiste-el-veto-a-futbolistas-en-el-futbol-colombiano-635732""","El_tiempo","2021","11","30"
"""Magistrados se comprometen a evitar casos de acoso en Corte Constitucional""","""Cortes""","""https://www.eltiempo.com/justicia/cortes/acoso-sexual-y-equidad-de-genero-corte-constitucional-lanza-politica-635860""","El_tiempo","2021","11","30"
"""Estados Unidos retiró oficialmente a las Farc de su lista de terroristas""","""EEUU""","""https://www.eltiempo.com/mundo/eeuu-y-canada/estados-unidos-retira-a-las-farc-de-lista-de-terroristas-635818""","El_tiempo","2021","11","30"
"""¿Qué demoró tanto 'humo blanco' en 'cónclave' de Coalición de la Esperanza?""","""CARA A CARA CON MARÍA ISABEL RUEDA""","""https://www.eltiempo.com/politica/partidos-politicos/campana-2022-entrevista-con-carlos-fernando-galan-635735""","El_tiempo","2021","11","30"
"""Los 'falsos positivos' de La Popa que serían el primer caso juzgado por JEP""","""JEP Colombia""","""https://www.eltiempo.com/justicia/jep-colombia/falsos-positivos-jep-casos-por-los-que-coronel-publio-mejia-iria-a-juicio-635788""","El_tiempo","2021","11","30"
"""Rebelión contra la narcoguerrillera la 'Abuela’ tiene fracturado al Eln""","""Conflicto y Narcotráfico""","""https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/eln-la-division-del-frente-de-guerra-occidental-635743""","El_tiempo","2021","11","30"
"""Ahorro un hábito determinante para garantizar un futuro tranquilo""","""Contenido Patrocinado""","""https://www.eltiempo.com/contenido-comercial/ahorro-un-habito-determinante-para-garantizar-un-futuro-tranquilo-635704""","El_tiempo","2021","11","30"
"""Ahorro un hábito determinante para garantizar un futuro tranquilo""","""Contenido Patrocinado""","""https://www.eltiempo.com/contenido-comercial/ahorro-un-habito-determinante-para-garantizar-un-futuro-tranquilo-635704""","El_tiempo","2021","11","30"
"""Hace un año torturaron y mataron a Michelle Amaya y aún no hay justicia""","""Bogotá""","""https://www.eltiempo.com/bogota/michelle-amaya-que-paso-con-caso-de-la-nina-asesinada-en-san-bernardo-632404""","El_tiempo","2021","11","30"
"""¿Dónde quedan las mujeres para las elecciones presidenciales?""","""Partidos Políticos""","""https://www.eltiempo.com/politica/partidos-politicos/elecciones-colombia-2022-mujeres-candidatas-para-presidencia-635706""","El_tiempo","2021","11","30"
"""Cambio climático acelera una de las corrientes más fuertes de la Tierra""","""Medio Ambiente""","""https://www.eltiempo.com/vida/medio-ambiente/cambio-climatico-acelera-una-de-las-corrientes-mas-fuertes-de-la-tierra-635804""","El_tiempo","2021","11","30"
"""Xenobots: los primeros robots que se autorreplican""","""Ciencia""","""https://www.eltiempo.com/vida/ciencia/crean-los-primeros-robots-que-se-autorreplican-635802""","El_tiempo","2021","11","30"
"""Debate abierto: ¿Lewandowski merecía más el Balón de Oro que Messi?""","""Fútbol Internacional""","""https://www.eltiempo.com/deportes/futbol-internacional/fue-justo-el-balon-de-oro-de-messi-por-encima-de-robert-lewandowski-635762""","El_tiempo","2021","11","30"
"""Creyó por 15 años que su novia era la supermodelo Alessandra Ambrosio""","""Gente""","""https://www.eltiempo.com/cultura/gente/deportista-creyo-por-15-anos-que-era-novio-de-la-modelo-alessandra-ambrosio-635726""","El_tiempo","2021","11","30"
"""María del Carmen tendrá vacaciones por primera vez en 15 años""","""Más Contenido""","""https://www.eltiempo.com/mas-contenido/maria-tendra-vacaciones-por-primera-vez-en-15-anos-634618""","El_tiempo","2021","11","30"
"""La sorpresa de Anuel AA que dejó sin palabras a Karol G en pleno concierto""","""Gente""","""https://www.eltiempo.com/cultura/gente/anuel-aa-aparecio-por-sorpresa-en-concieto-de-karol-g-635843""","El_tiempo","2021","11","30"
"""Así están vendiendo crías de hipopótamo en Doradal (Antioquia)""","""Medio Ambiente""","""https://www.eltiempo.com/vida/medio-ambiente/asi-estan-traficando-crias-de-hipopotamo-en-doradal-635694""","El_tiempo","2021","11","30"
"""Debate abierto: ¿Lewandowski merecía más el Balón de Oro que Messi?""","""Fútbol Internacional""","""https://www.eltiempo.com/deportes/futbol-internacional/fue-justo-el-balon-de-oro-de-messi-por-encima-de-robert-lewandowski-635762""","El_tiempo","2021","11","30"
"""Alerta en Cali: hombres armados amenazaron a pasajeros de un bus del MIO""","""Cali""","""https://www.eltiempo.com/colombia/cali/hombres-armados-amenazaron-a-pasajeros-de-un-bus-del-mio-en-cali-635603""","El_tiempo","2021","11","30"
"""Primeros detalles de las negociaciones del salario mínimo 2022""","""Sectores""","""https://www.eltiempo.com/economia/sectores/salario-minimo-2022-mintrabajo-da-primeros-detalles-sobre-negociaciones-635728""","El_tiempo","2021","11","30"
"""Turismo colombiano muestra un crecimiento sostenido""","""Viajar""","""https://www.eltiempo.com/vida/viajar/la-recuperacion-del-turismo-colombiano-muestra-crecimiento-sostenido-635757""","El_tiempo","2021","11","30"
"""Ojo a los cierres de la carrera 68 por obras de TransMilenio""","""Bogotá""","""https://www.eltiempo.com/bogota/cierres-en-la-carrera-68-por-construccion-de-transmienio-movilidad-hoy-635655""","El_tiempo","2021","11","30"
"""Otro bebé Emberá está en delicado estado de salud: ¿qué pasará con ellos?""","""Bogotá""","""https://www.eltiempo.com/bogota/las-salidas-que-les-quedan-a-los-1-300-emberas-del-parque-nacional-635749""","El_tiempo","2021","11","30"
"""Tribunal tumba fallo que frenó aplicación de cambio a Ley de Garantías""","""Cortes""","""https://www.eltiempo.com/justicia/cortes/ley-de-garantias-tribunal-tumba-fallo-que-freno-aplicacion-de-modificacion-635652""","El_tiempo","2021","11","30"
"""Mejía el primer militar que enfrentaría juicio en JEP por falsos positivos""","""JEP Colombia""","""https://www.eltiempo.com/justicia/jep-colombia/jep-envia-a-coronel-publio-mejia-a-su-fiscalia-por-falsos-positivos-635631""","El_tiempo","2021","11","30"
"""Ojo a los cierres de la carrera 68 por obras de TransMilenio""","""Bogotá""","""https://www.eltiempo.com/bogota/cierres-en-la-carrera-68-por-construccion-de-transmienio-movilidad-hoy-635655""","El_tiempo","2021","11","30"
"""Otro bebé Emberá está en delicado estado de salud: ¿qué pasará con ellos?""","""Bogotá""","""https://www.eltiempo.com/bogota/las-salidas-que-les-quedan-a-los-1-300-emberas-del-parque-nacional-635749""","El_tiempo","2021","11","30"
"""Tribunal tumba fallo que frenó aplicación de cambio a Ley de Garantías""","""Cortes""","""https://www.eltiempo.com/justicia/cortes/ley-de-garantias-tribunal-tumba-fallo-que-freno-aplicacion-de-modificacion-635652""","El_tiempo","2021","11","30"
"""Mejía el primer militar que enfrentaría juicio en JEP por falsos positivos""","""JEP Colombia""","""https://www.eltiempo.com/justicia/jep-colombia/jep-envia-a-coronel-publio-mejia-a-su-fiscalia-por-falsos-positivos-635631""","El_tiempo","2021","11","30"
"""“Estoy dispuesto a enfrentarme a los poderosos para construir igualdad a enfrentar dificultades y a tomar decisiones así sean impopulares”: Enrique Peñalosa""","""Elecciones 2022""","""https://www.publimetro.co/noticias/2021/11/26/estoy-dispuesto-a-enfrentarme-a-los-poderosos-para-construir-igualdad-a-enfrentar-dificultades-y-a-tomar-decisiones-asi-sean-impopulares-enrique-penalosa/""","Publimetro","2021","11","30"
"""“Vamos a superar la pobreza extrema en 4 años”: precandidata Paloma Valencia""","""Elecciones 2022""","""https://www.publimetro.co/noticias/2021/11/19/vamos-a-superar-la-pobreza-extrema-en-4-anos-precandidata-paloma-valencia/""","Publimetro","2021","11","30"
"""“Es el momento de pensar en el país defender nuestra democracia y protegerla del riesgo de que llegue el socialismo de izquierda”: Oscar Iván Zuluaga""","""Elecciones 2022""","""https://www.publimetro.co/noticias/2021/11/19/es-el-momento-de-pensar-en-el-pais-defender-nuestra-democracia-y-protegerla-del-riesgo-de-que-llegue-el-socialismo-de-izquierda-oscar-ivan-zuluaga/""","Publimetro","2021","11","30"
"""“No al subsidio para mantener la pobreza sí al crédito para materializar los sueños”: María Fernanda Cabal""","""Elecciones 2022""","""https://www.publimetro.co/noticias/2021/11/19/no-al-subsidio-para-mantener-la-pobreza-si-al-credito-para-materializar-los-suenos-maria-fernanda-cabal/""","Publimetro","2021","11","30"
"""Periodistas confunden a Tom Holland con actor de Harry Potter""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/periodistas-confunden-a-tom-holland-con-actor-de-harry-potter/""","Publimetro","2021","11","30"
"""“Claro tu esposo es Thor”: Elsa Pataky habla sobre su matrimonio con Chris Hemsworth y como han superado los obstáculos juntos""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/claro-tu-esposo-es-thor-elsa-pataky-habla-sobre-su-matrimonio-con-chris-hemsworth-y-como-han-superado-los-obstaculos-juntos/""","Publimetro","2021","11","30"
"""Así fue la transformación y preparación de Halle Berry para la película ‘Herida’""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/asi-fue-la-transformacion-y-preparacion-de-halle-berry-para-la-pelicula-herida/""","Publimetro","2021","11","30"
"""Acusan a la hija de Aida Merlano de prepago esta fue su respuesta""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/acusan-a-la-hija-de-aida-merlano-de-prepago-esta-fue-su-respuesta/""","Publimetro","2021","11","30"
"""La gemela de Julieta venegas que hasta hoy no sabías que existía""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/la-gemela-de-julieta-venegas-que-hasta-hoy-no-sabias-que-existia/""","Publimetro","2021","11","30"
"""Violet y Emme se unen a JLo y Ben para noble labor y muestran su conexión y gran corazón ""","""Entretenimiento""","""https://www.publimetro.co/entretenimiento/2021/11/30/violet-y-emme-se-unen-a-jlo-y-ben-para-noble-labor-y-muestran-su-conexion-y-gran-corazon/""","Publimetro","2021","11","30"
"""Robert Yeoman la mano derecha de Wes Anderson""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/30/robert-yeoman-la-mano-derecha-de-wes-anderson/""","Publimetro","2021","11","30"
"""Bogoshorts da a conocer el tráiler oficial de su festival para este año""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/30/bogoshorts-da-a-conocer-el-trailer-oficial-de-su-festival-para-este-ano/""","Publimetro","2021","11","30"
"""La escritora española Almudena Grandes fallece en Madrid a los 61 años""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/27/la-escritora-espanola-almudena-grandes-fallece-en-madrid-a-los-61-anos/""","Publimetro","2021","11","30"
"""Fallece Máximo Jiménez exponente del Vallenato protesta""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/27/fallece-maximo-jimenez-exponente-del-vallenato-protesta/""","Publimetro","2021","11","30"
"""Fallece Michi Sarmiento leyenda de la música en Colombia""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/26/fallece-michi-sarmiento-leyenda-de-la-musica-en-colombia/""","Publimetro","2021","11","30"
"""Esposa del Secretario General de la ONU destacó los avances del Bronx Distrito Creativo""","""Cultura""","""https://www.publimetro.co/cultura/2021/11/26/esposa-del-secretario-general-de-la-onu-destaco-los-avances-del-bronx-distrito-creativo/""","Publimetro","2021","11","30"
"""José Pékerman es el nuevo técnico de Venezuela y será juez de Colombia""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/jose-pekerman-es-el-nuevo-tecnico-de-venezuela-y-sera-juez-de-colombia/""","Publimetro","2021","11","30"
"""Messi lo ganó por “Una Copa América que no fue legítima” Carlos Antonio Vélez""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/messi-lo-gano-por-una-copa-america-que-no-fue-legitima-carlos-antonio-velez/""","Publimetro","2021","11","30"
"""Guardiola sí salió a defender que le dieran el Balón de Oro a Lionel Messi""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/guardiola-si-salio-a-defender-que-le-dieran-el-balon-de-oro-a-lionel-messi/""","Publimetro","2021","11","30"
"""Nicolás Vikonis dejó en claro que ser arquero de Millonarios no es nada fácil""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/nicolas-vikonis-dejo-en-claro-que-ser-arquero-de-millonarios-no-es-nada-facil/""","Publimetro","2021","11","30"
"""¡El buen hijo vuelve a casa! Conversaciones adelantadas entre Bacca y Junior""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/el-buen-hijo-vuelve-a-casa-conversaciones-adelantadas-entre-bacca-y-junior/""","Publimetro","2021","11","30"
"""Para Ancelotti Vinícius Júnior hubiera sido el segundo en el Balón de Oro""","""Deportes""","""https://www.publimetro.co/deportes/2021/11/30/para-ancelotti-vinicius-junior-hubiera-sido-el-segundo-en-el-balon-de-oro/""","Publimetro","2021","11","30"
"""Llega una nueva forma de disfrutar de la ‘tele’ que cambiará la forma en la que ve miniseries""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/25/llega-una-nueva-forma-de-disfrutar-de-la-tele-que-cambiara-la-forma-en-la-que-ve-miniseries/""","Publimetro","2021","11","30"
"""‘Lo excepcional’ ‘lo bueno’ y ‘lo no tan bueno’ del iPhone 13 Pro""","""Tecnología""","""https://www.publimetro.co/estilo-vida/2021/11/24/lo-excepcional-lo-bueno-y-lo-no-tan-bueno-del-iphone-13-pro/""","Publimetro","2021","11","30"
"""Llega a Bogotá un evento que le enseñará a invertir e incrementar sus ingresos""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/11/llega-a-bogota-un-evento-que-le-ensenara-a-invertir-e-incrementar-sus-ingresos/""","Publimetro","2021","11","30"
"""Meta y otras plataformas se unen en defensa de los menores en internet""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/11/meta-y-otras-plataformas-se-unen-en-defensa-de-los-menores-en-internet/""","Publimetro","2021","11","30"
"""Elon Musk vende 45 millones de acciones de Tesla valoradas en 5.000 millones""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/11/elon-musk-vende-45-millones-de-acciones-de-tesla-valoradas-en-5000-millones/""","Publimetro","2021","11","30"
"""El eRetail Week LATAM Online [Live]  Experience reunirá a la industria digital de la Latinoamérica""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/10/el-eretail-week-latam-online-live-experience-reunira-a-la-industria-digital-de-la-latinoamerica/""","Publimetro","2021","11","30"
"""¿Lo notó? El gran cambio que implementó YouTube""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/10/lo-noto-el-gran-cambio-que-implemento-youtube/""","Publimetro","2021","11","30"
"""Cinco clips tecnológicos que deja la primera semana de noviembre""","""Tecnología""","""https://www.publimetro.co/tecnologia/2021/11/05/cinco-clips-tecnologicos-que-deja-la-primera-semana-de-noviembre/""","Publimetro","2021","11","30"
"""¡LA SEGURIDAD DE LOS CARROS NO ES UN LUJO!""","""Especiales Publimetro""","""https://especiales.publimetro.co/carrosmasseguros/""","Publimetro","2021","11","30"
"""HAZ DEL AHORRO Y LA PLANEACIÓN TUS ALIADOS ""","""Especiales Publimetro""","""https://especiales.publimetro.co/chevyplan/""","Publimetro","2021","11","30"
"""TUS MARCAS FAVORITAS CON DESCUENTOS IMPERDIBLES""","""Especiales Publimetro""","""https://especiales.publimetro.co/loreal/""","Publimetro","2021","11","30"
